_id,distance,gateway,major,majorminor,minor,rssi,timestamp,type,uuid,tag,specificTag
C4FE51F6A878,0.5668747125065693,E06B09BAC79F,10002,100029571,9571,-52.0,1683732875,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
04EE03C47286,1.847849797422291,E06B09BAC79F,10004,1000454480,54480,-68.0,1683732875,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
F0F8F2044F23,1.2589254117941673,E06B09BAC79F,10004,1000422222,22222,-63.0,1683732875,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
DC0D300F720A,14.6779926762207,F3499FDED02E,12303,1230329194,29194,-95.0,1683732875,1AFF4C000215,D546DF97475747EFBE093E2DCBDD0C77,Room1,-
087CBF000028,5.249932877549594,F3499FDED02E,10004,1000411111,11111,-81.0,1683732875,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
C630A073DD08,4.311330269573875,F3499FDED02E,10002,100029586,9586,-79.0,1683732875,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
C4FE51F6A878,2.9206898772757297,F3499FDED02E,10002,100029571,9571,-73.5,1683732875,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
04EE03C47286,7.356422544596413,F3499FDED02E,10004,1000454480,54480,-86.0,1683732875,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
F0F8F2044F23,8.576958985908941,F3499FDED02E,10004,1000422222,22222,-88.0,1683732875,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
DC0D300F7252,0.7356422544596414,E06B09BAC79F,10065,100656666,6666,-71.0,1683732876,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
DC0D300F720A,3.4145488738336014,E06B09BAC79F,12303,1230329194,29194,-76.0,1683732876,1AFF4C000215,D546DF97475747EFBE093E2DCBDD0C77,Room1,-
C630A073DD08,1.2212945455260038,E06B09BAC79F,10002,100029586,9586,-62.0,1683732876,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
04EE03C47286,0.8576958985908941,E06B09BAC79F,10004,1000454480,54480,-58.0,1683732876,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
F0F8F2044F23,1.847849797422291,E06B09BAC79F,10004,1000422222,22222,-68.0,1683732876,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
C4FE51F6A878,0.5411695265464637,E06B09BAC79F,10002,100029571,9571,-52.0,1683732876,1AFF4C000215,0112233445566778899AABBCCDDEEFF0,Room1,-
087CBF000028,1.7113283041617808,E06B09BAC79F,10004,1000411111,11111,-67.0,1683732876,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
DC0D300F7252,2.9286445646252366,F3499FDED02E,10065,100656666,6666,-89.0,1683732876,1AFF4C000215,FDA50693A4E24FB1AFCFC6EB07647825,Room1,-
